url,width,height,mime
"https://assets-cdn.logoup.com/ADSReviewImages/review_20250617081858_4275.jpeg",5712,4284,image/jpeg
"https://assets-cdn.logoup.com/ADSReviewImages/review_20250224164735_4817.jpeg",3024,4032,image/jpeg
"https://assets-cdn.logoup.com/ADSReviewImages/review_20241123135703_3004.jpeg",2721,3090,image/jpeg
"https://assets-cdn.logoup.com/ADSReviewImages/review_20250708135454_9089.jpeg",2400,2400,image/jpeg
"https://assets-cdn.logoup.com/Alldayshirts_ProductImages/31-069_BLACKNATURAL-front.jpg",869,892,image/jpeg
"https://assets-cdn.logoup.com/Alldayshirts_ProductImages/31-069_BLACKNATURAL-pod-7850.jpg",869,892,image/jpeg
"https://assets-cdn.logoup.com/Alldayshirts_ProductImages/12477_default_1999.jpg",869,892,image/jpeg
